,clubname,rec_1,rec_2,rec_3,rec_4,rec_5
37,고려대학교 합창단,JASS,고대농악대,고려대학교 관악부,고려대학교 관현악단,국악연구회
38,KURP,철학마을,고대문학회,고란도란,UNSA,예술비평연구회
39,UNSA,고란도란,KURP,철학마을,고대문학회,예술비평연구회
40,고대문학회,KURP,철학마을,예술비평연구회,수레바퀴,뉴런
41,고란도란,KURP,철학마을,UNSA,고대문학회,예술비평연구회
42,뉴런,한국근현대사연구회,고대문학회,예술비평연구회,수레바퀴,고란도란
43,사람과 사람,평화나비,한국사회연구회,수레바퀴,한국근현대사연구회,예술비평연구회
44,수레바퀴,한국사회연구회,한국근현대사연구회,평화나비,사람과 사람,예술비평연구회
45,열두루달,고란도란,한국사회연구회,예술비평연구회,수레바퀴,뉴런
46,예술비평연구회,고대문학회,고란도란,수레바퀴,한국사회연구회,호영회
47,철학마을,KURP,고대문학회,고란도란,UNSA,예술비평연구회
48,평화나비,사람과 사람,한국사회연구회,수레바퀴,한국근현대사연구회,예술비평연구회
49,한국근현대사연구회,한국사회연구회,수레바퀴,뉴런,평화나비,사람과 사람
50,한국사회연구회,수레바퀴,한국근현대사연구회,평화나비,사람과 사람,예술비평연구회
51,거의격월간몰라도되는데,호영회,호진회,한국화회,그림마당,돌빛
52,그림마당,한국화회,서화회,호영회,거의격월간몰라도되는데,돌빛
53,돌빛,호진회,호영회,한국화회,거의격월간몰라도되는데,그림마당
54,서화회,한국화회,그림마당,호영회,거의격월간몰라도되는데,돌빛
55,캘리쿠,호영회,한국화회,거의격월간몰라도되는데,그림마당,돌빛
56,팝콘,LECA,ALC,한일문화연구회,KUCC,중국연구회
57,한국화회,그림마당,서화회,호영회,거의격월간몰라도되는데,돌빛
58,호영회,한국화회,거의격월간몰라도되는데,그림마당,돌빛,서화회
59,CCC,SFC,JOY,예수전도단,IVF,ENM
60,ENM,예수전도단,IVF,SFC,JOY,CCC
61,IVF,예수전도단,ENM,SFC,JOY,CCC
62,JOY,SFC,CCC,예수전도단,IVF,ENM
63,SFC,JOY,CCC,예수전도단,IVF,ENM
64,불교학생회,JOY,CCC,SFC,원불교학생회,KUSA
65,예수전도단,IVF,ENM,SFC,JOY,CCC
66,원불교학생회,SFC,JOY,젊은예수,CCC,예수전도단
67,젊은예수,SFC,JOY,원불교학생회,CCC,예수전도단
68,ENTHES,택견한울,KULAX,한량회,궁도회,FC엘리제
69,FC엘리제,아마추어축구부,고풋,한량회,택견한울,ENTHES
70,KUBC,궁도회,택견한울,ENTHES,FC엘리제,KUBT
71,KUBT,한량회,궁도회,택견한울,ENTHES,FC엘리제
72,KULAX,택견한울,ENTHES,한량회,궁도회,FC엘리제
73,고풋,아마추어축구부,FC엘리제,한량회,택견한울,ENTHES
74,궁도회,한량회,택견한울,ENTHES,FC엘리제,KUBT
75,농구연구회,한량회,KULAX,택견한울,ENTHES,FC엘리제
76,백구회,한량회,KULAX,택견한울,ENTHES,FC엘리제
77,수호회,한량회,KULAX,택견한울,ENTHES,FC엘리제
78,아마추어축구부,FC엘리제,고풋,한량회,택견한울,ENTHES
79,탁구사랑회,한량회,KULAX,택견한울,ENTHES,FC엘리제
80,택견한울,ENTHES,KULAX,한량회,궁도회,FC엘리제
81,한량회,궁도회,택견한울,ENTHES,FC엘리제,KUBT
